,poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,party,answer,candidate_id,candidate_name,pct
0,81623,1677,The Political Matrix/The Listener Group,,,The Political Matrix/The Listener Group,677.0,The Political Matrix/The Listener Group,0.7,0.7,IVR,2.0,Florida,11/6/22,11/7/22,,,,,,,165294,722.0,lv,,lv,,11/7/22 19:07,,https://projects.fivethirtyeight.com/polls/20221107_FL_Listener.pdf,https://projects.fivethirtyeight.com/polls/20221107_FL_Listener.pdf,,,,,,8959,2022,Governor,0,,11/8/22,general,False,False,,DEM,Crist,18852,Charlie Crist,48.0
1,81623,1677,The Political Matrix/The Listener Group,,,The Political Matrix/The Listener Group,677.0,The Political Matrix/The Listener Group,0.7,0.7,IVR,2.0,Florida,11/6/22,11/7/22,,,,,,,165294,722.0,lv,,lv,,11/7/22 19:07,,https://projects.fivethirtyeight.com/polls/20221107_FL_Listener.pdf,https://projects.fivethirtyeight.com/polls/20221107_FL_Listener.pdf,,,,,,8959,2022,Governor,0,,11/8/22,general,False,False,,REP,DeSantis,18851,Ron DeSantis,52.0
2,81629,1250,Trafalgar Group,,,Trafalgar Group,338.0,Trafalgar Group,0.7,0.6,IVR/Live Phone/Text/Online Panel/Email,1.0,Arizona,11/5/22,11/7/22,,,,,,,165314,1094.0,lv,,lv,,11/7/22 22:26,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/AZ-Gen-Poll-Report-1107.pdf,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/AZ-Gen-Poll-Report-1107.pdf,,,,REP,8954,2022,Governor,0,,11/8/22,general,False,False,,DEM,Hobbs,28718,Katie Hobbs,46.9
3,81629,1250,Trafalgar Group,,,Trafalgar Group,338.0,Trafalgar Group,0.7,0.6,IVR/Live Phone/Text/Online Panel/Email,1.0,Arizona,11/5/22,11/7/22,,,,,,,165314,1094.0,lv,,lv,,11/7/22 22:26,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/AZ-Gen-Poll-Report-1107.pdf,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/AZ-Gen-Poll-Report-1107.pdf,,,,REP,8954,2022,Governor,0,,11/8/22,general,False,False,,REP,Lake,28719,Kari Lake,50.5
4,81775,1250,Trafalgar Group,,,Trafalgar Group,338.0,Trafalgar Group,0.7,0.6,IVR/Live Phone/Text/Online Panel/Email,1.0,Nevada,11/5/22,11/7/22,,,,,,,166096,1089.0,lv,,lv,,12/7/22 13:24,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/TRF-NV-General-1107-Poll-Report.pdf,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/TRF-NV-General-1107-Poll-Report.pdf,,,,REP,8972,2022,Governor,0,,11/8/22,general,False,False,,DEM,Sisolak,28669,Steve Sisolak,46.1
5,81775,1250,Trafalgar Group,,,Trafalgar Group,338.0,Trafalgar Group,0.7,0.6,IVR/Live Phone/Text/Online Panel/Email,1.0,Nevada,11/5/22,11/7/22,,,,,,,166096,1089.0,lv,,lv,,12/7/22 13:24,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/TRF-NV-General-1107-Poll-Report.pdf,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/TRF-NV-General-1107-Poll-Report.pdf,,,,REP,8972,2022,Governor,0,,11/8/22,general,False,False,,REP,Lombardo,28671,Joe Lombardo,48.6
6,81775,1250,Trafalgar Group,,,Trafalgar Group,338.0,Trafalgar Group,0.7,0.6,IVR/Live Phone/Text/Online Panel/Email,1.0,Nevada,11/5/22,11/7/22,,,,,,,166096,1089.0,lv,,lv,,12/7/22 13:24,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/TRF-NV-General-1107-Poll-Report.pdf,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/TRF-NV-General-1107-Poll-Report.pdf,,,,REP,8972,2022,Governor,0,,11/8/22,general,False,False,,LIB,Davis,30134,Brandon Davis,2.1
7,81776,1250,Trafalgar Group,,,Trafalgar Group,338.0,Trafalgar Group,0.7,0.6,IVR/Live Phone/Text/Online Panel/Email,1.0,Michigan,11/5/22,11/7/22,,,,,,,166097,1097.0,lv,,lv,,12/7/22 13:24,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/MI-Gen-Poll-Report-1107.pdf,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/MI-Gen-Poll-Report-1107.pdf,,,,REP,8969,2022,Governor,0,,11/8/22,general,False,False,,DEM,Whitmer,18853,Gretchen Whitmer,48.2
8,81776,1250,Trafalgar Group,,,Trafalgar Group,338.0,Trafalgar Group,0.7,0.6,IVR/Live Phone/Text/Online Panel/Email,1.0,Michigan,11/5/22,11/7/22,,,,,,,166097,1097.0,lv,,lv,,12/7/22 13:24,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/MI-Gen-Poll-Report-1107.pdf,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/MI-Gen-Poll-Report-1107.pdf,,,,REP,8969,2022,Governor,0,,11/8/22,general,False,False,,REP,Dixon,28659,Tudor M. Dixon,48.5
9,81776,1250,Trafalgar Group,,,Trafalgar Group,338.0,Trafalgar Group,0.7,0.6,IVR/Live Phone/Text/Online Panel/Email,1.0,Michigan,11/5/22,11/7/22,,,,,,,166097,1097.0,lv,,lv,,12/7/22 13:24,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/MI-Gen-Poll-Report-1107.pdf,,https://www.thetrafalgargroup.org/wp-content/uploads/2022/11/MI-Gen-Poll-Report-1107.pdf,,,,REP,8969,2022,Governor,0,,11/8/22,general,False,False,,LIB,Buzuma,30569,Mary Buzuma,0.6
